start, mza, NA,7048,1434542195534
0,next, 181.87312, [LJRD$Trial;@3ff70d3c,10774,10774,1434542199260
1,newTrial, NA,[LJRD$Trial;@3ff70d3c,0,10774,1434542199260
1,next, 105.497406, [LJRD$Trial;@3ff70d3c,19641,30415,1434542218901
2,newTrial, NA,[LJRD$Trial;@3ff70d3c,0,30415,1434542218901
2,next, 189.01617, [LJRD$Trial;@3ff70d3c,63207,93622,1434542282108
3,newTrial, NA,[LJRD$Trial;@3ff70d3c,0,93622,1434542282108
3,dontknow, 180.0, [LJRD$Trial;@3ff70d3c,2730,96352,1434542284838
3,next, 180.0, [LJRD$Trial;@3ff70d3c,3766,97388,1434542285874
4,newTrial, NA,[LJRD$Trial;@3ff70d3c,0,97388,1434542285874
4,next, 226.9293, [LJRD$Trial;@3ff70d3c,3884,101272,1434542289758
5,newTrial, NA,[LJRD$Trial;@3ff70d3c,0,101272,1434542289758
